userId,duration,partialResponse
1,148.21,"Das GWP der Aluminiumkomponente beträgt 29,556 kg CO₂e. Dies ergibt sich aus der Verarbeitung von 1,642 kg Aluminium, wobei 80 % primäres (22,3 kg CO₂e/kg) und 20 % sekundäres Aluminium (0,8 kg CO₂e/k"
2,136.98,"Das GWP der Aluminiumkomponente beträgt 29,556 kg CO₂e. Dies ergibt sich aus der Verarbeitung von 1,642 kg Aluminium, wobei 80 % primäres (22,3 kg CO₂e/kg) und 20 % sekundäres Aluminium (0,8 kg CO₂e/k"
3,153.14,"Das GWP der Aluminiumkomponente beträgt 29,556 kg CO₂e. Dies ergibt sich aus der Verarbeitung von 1,642 kg Aluminium, wobei 80 % primäres (22,3 kg CO₂e/kg) und 20 % sekundäres Aluminium (0,8 kg CO₂e/k"
4,142.55,"Das GWP der Aluminiumkomponente beträgt 29,556 kg CO₂e. Dies ergibt sich aus der Verarbeitung von 1,642 kg Aluminium, wobei 80 % primäres (22,3 kg CO₂e/kg) und 20 % sekundäres Aluminium (0,8 kg CO₂e/k"
5,75.34,"Das GWP der Aluminiumkomponente beträgt insgesamt 148,626 kg CO₂e. Dies setzt sich aus 147,3049 kg CO₂e für primäres Aluminium und 1,3211 kg CO₂e für sekundäres Aluminium zusammen. Die Berechnung berü"
6,119.31,"Das GWP der Aluminiumkomponente beträgt 29,556 kg CO₂e. Dies ergibt sich aus der Verarbeitung von 1,642 kg Aluminium, wobei 80 % primäres (22,3 kg CO₂e/kg) und 20 % sekundäres Aluminium (0,8 kg CO₂e/k"
7,131.26,"Das GWP der Aluminiumkomponente beträgt 29,556 kg CO₂e. Dies ergibt sich aus der Verarbeitung von 1,642 kg Aluminium, wobei 80 % primäres (22,3 kg CO₂e/kg) und 20 % sekundäres Aluminium (0,8 kg CO₂e/k"
8,107.06,"Das GWP der Aluminiumkomponente beträgt 29,556 kg CO₂e. Dies ergibt sich aus der Verarbeitung von 1,642 kg Aluminium, wobei 80 % primäres (GWP 22,3 kg CO₂e/kg) und 20 % sekundäres Aluminium (GWP 0,8 k"
9,113.26,"Das GWP der Aluminiumkomponente beträgt 29,556 kg CO₂e. Dies ergibt sich aus der Verarbeitung von 1,642 kg Aluminium, wobei 80 % primäres (22,3 kg CO₂e/kg) und 20 % sekundäres Aluminium (0,8 kg CO₂e/k"
10,125.27,"Das GWP der Aluminiumkomponente beträgt 29,556 kg CO₂e. Dies ergibt sich aus der Verarbeitung von 1,642 kg Aluminium, wobei 80 % primäres (22,3 kg CO₂e/kg) und 20 % sekundäres Aluminium (0,8 kg CO₂e/k"
